"","column","diff","lwr","upr","p adj","significant","block_a","block_b","clusterlabel_a","clusterlabel_b"
"99","2:SalVentAttn_SalVentAttn-1:SalVentAttn_SalVentAttn",0.00186810614640234,0.00174141752679018,0.00199479476601449,0,TRUE,"SalVentAttn","SalVentAttn","2","1"
"100","1:SalVentAttn_SomMot-0:SalVentAttn_SomMot",-0.0018018118654607,-0.00192850048507286,-0.00167512324584855,0,TRUE,"SalVentAttn","SomMot","1","0"
"101","2:SalVentAttn_SomMot-0:SalVentAttn_SomMot",-0.00214849892095164,-0.00227518754056379,-0.00202181030133948,0,TRUE,"SalVentAttn","SomMot","2","0"
"102","2:SalVentAttn_SomMot-1:SalVentAttn_SomMot",-0.000346687055490934,-0.000473375675103088,-0.000219998435878779,0,TRUE,"SalVentAttn","SomMot","2","1"
"103","1:SalVentAttn_Vis-0:SalVentAttn_Vis",0.000369416921698569,0.000242728302086414,0.000496105541310724,0,TRUE,"SalVentAttn","Vis","1","0"
"104","2:SalVentAttn_Vis-0:SalVentAttn_Vis",0.000188102581058343,6.14139614461884e-05,0.000314791200670497,4.78007008863912e-07,TRUE,"SalVentAttn","Vis","2","0"
"105","2:SalVentAttn_Vis-1:SalVentAttn_Vis",-0.000181314340640226,-0.000308002960252381,-5.46257210280715e-05,2.21272005584972e-06,TRUE,"SalVentAttn","Vis","2","1"
"106","1:SomMot_Cont-0:SomMot_Cont",-6.44015128937986e-05,-0.000191090132505953,6.22871067183559e-05,0.999999313465538,FALSE,"SomMot","Cont","1","0"
"107","2:SomMot_Cont-0:SomMot_Cont",-0.00038990662940043,-0.000516595249012585,-0.000263218009788276,0,TRUE,"SomMot","Cont","2","0"
"108","2:SomMot_Cont-1:SomMot_Cont",-0.000325505116506632,-0.000452193736118786,-0.000198816496894477,1.97619698383278e-14,TRUE,"SomMot","Cont","2","1"
"109","1:SomMot_Default-0:SomMot_Default",0.000291729266461977,0.000165040646849823,0.000418417886074132,1.33304478566743e-12,TRUE,"SomMot","Default","1","0"
"110","2:SomMot_Default-0:SomMot_Default",-5.21280831745453e-05,-0.0001788167027867,7.45605364376092e-05,1,FALSE,"SomMot","Default","2","0"
"111","2:SomMot_Default-1:SomMot_Default",-0.000343857349636523,-0.000470545969248677,-0.000217168730024368,0,TRUE,"SomMot","Default","2","1"
"112","1:SomMot_DorsAttn-0:SomMot_DorsAttn",-0.000932868652422666,-0.00105955727203482,-0.000806180032810512,0,TRUE,"SomMot","DorsAttn","1","0"
"113","2:SomMot_DorsAttn-0:SomMot_DorsAttn",-0.00130635908570908,-0.00143304770532123,-0.00117967046609692,0,TRUE,"SomMot","DorsAttn","2","0"
"114","2:SomMot_DorsAttn-1:SomMot_DorsAttn",-0.000373490433286409,-0.000500179052898563,-0.000246801813674254,0,TRUE,"SomMot","DorsAttn","2","1"
"115","1:SomMot_Limbic-0:SomMot_Limbic",0.00160441221885268,0.00147772359924053,0.00173110083846483,0,TRUE,"SomMot","Limbic","1","0"
"116","2:SomMot_Limbic-0:SomMot_Limbic",0.00244930222013586,0.00232261360052371,0.00257599083974802,0,TRUE,"SomMot","Limbic","2","0"
"117","2:SomMot_Limbic-1:SomMot_Limbic",0.000844890001283182,0.000718201381671027,0.000971578620895336,0,TRUE,"SomMot","Limbic","2","1"
"118","1:SomMot_SalVentAttn-0:SomMot_SalVentAttn",-0.00180181185053438,-0.00192850047014654,-0.00167512323092223,0,TRUE,"SomMot","SalVentAttn","1","0"
"119","2:SomMot_SalVentAttn-0:SomMot_SalVentAttn",-0.00214849896646418,-0.00227518758607633,-0.00202181034685202,0,TRUE,"SomMot","SalVentAttn","2","0"
"120","2:SomMot_SalVentAttn-1:SomMot_SalVentAttn",-0.000346687115929797,-0.000473375735541952,-0.000219998496317643,0,TRUE,"SomMot","SalVentAttn","2","1"
