,block,type,cluster_label,fold,pattern_value
30,SalVentAttn_DorsAttn,inter,0,1,0.0200588223115468
31,SalVentAttn_Limbic,inter,0,1,-0.0143986636925296
32,SalVentAttn_SalVentAttn,intra,0,1,0.0629555721579108
33,SalVentAttn_SomMot,inter,0,1,0.0329545022280609
34,SalVentAttn_Vis,inter,0,1,-0.0078633391051094
35,SomMot_Cont,inter,0,1,0.0030813223524464
36,SomMot_Default,inter,0,1,-0.0012849129822804
37,SomMot_DorsAttn,inter,0,1,0.030579095099943
38,SomMot_Limbic,inter,0,1,-0.0209752829257604
39,SomMot_SalVentAttn,inter,0,1,0.032954501762357
40,SomMot_SomMot,intra,0,1,0.0713749219997543
41,SomMot_Vis,inter,0,1,0.0010629204402701
42,Vis_Cont,inter,0,1,-0.0162174237799027
43,Vis_Default,inter,0,1,-0.0093259467899164
44,Vis_DorsAttn,inter,0,1,0.0065146629876917
45,Vis_Limbic,inter,0,1,-0.0059422313414992
46,Vis_SalVentAttn,inter,0,1,-0.0078633391481066
47,Vis_SomMot,inter,0,1,0.0010629197155784
48,Vis_Vis,intra,0,1,0.0850021532513318
0,Cont_Cont,intra,1,1,0.0492361699352348
1,Cont_Default,inter,1,1,0.0157288692672323
2,Cont_DorsAttn,inter,1,1,0.0162917350184294
3,Cont_Limbic,inter,1,1,-0.0070345072401387
4,Cont_SalVentAttn,inter,1,1,0.0172893390884366
5,Cont_SomMot,inter,1,1,0.0038646759047044
6,Cont_Vis,inter,1,1,-0.0149704246246007
7,Default_Cont,inter,1,1,0.015728869264837
8,Default_Default,intra,1,1,0.0406630652339801
9,Default_DorsAttn,inter,1,1,-0.0043331684682722
10,Default_Limbic,inter,1,1,0.0066701740345505
11,Default_SalVentAttn,inter,1,1,0.0029290688576888
12,Default_SomMot,inter,1,1,-0.0010012321022363
13,Default_Vis,inter,1,1,-0.0087360264092819
14,DorsAttn_Cont,inter,1,1,0.0162917339916288
15,DorsAttn_Default,inter,1,1,-0.0043331683432346
16,DorsAttn_DorsAttn,intra,1,1,0.0652122468734044
17,DorsAttn_Limbic,inter,1,1,-0.0186334632435031
18,DorsAttn_SalVentAttn,inter,1,1,0.0199116996397232
19,DorsAttn_SomMot,inter,1,1,0.029561898049439
20,DorsAttn_Vis,inter,1,1,0.0074019386241775
21,Limbic_Cont,inter,1,1,-0.0070345070735025
22,Limbic_Default,inter,1,1,0.0066701740336023
23,Limbic_DorsAttn,inter,1,1,-0.0186334632980006
24,Limbic_Limbic,intra,1,1,0.093624546721021
25,Limbic_SalVentAttn,inter,1,1,-0.0132153886849562
26,Limbic_SomMot,inter,1,1,-0.0184655581998669
27,Limbic_Vis,inter,1,1,-0.0052198807754435
28,SalVentAttn_Cont,inter,1,1,0.0172893389638887
29,SalVentAttn_Default,inter,1,1,0.0029290692757024
30,SalVentAttn_DorsAttn,inter,1,1,0.0199116995129907
31,SalVentAttn_Limbic,inter,1,1,-0.0132153886746938
32,SalVentAttn_SalVentAttn,intra,1,1,0.0613537111913294
33,SalVentAttn_SomMot,inter,1,1,0.0318885532265899
34,SalVentAttn_Vis,inter,1,1,-0.0080569153367791
35,SomMot_Cont,inter,1,1,0.0038646749241588
