,block,type,cluster_label,fold,pattern_value
9,Default_DorsAttn,inter,0,1,-0.00048363523498317127
10,Default_Limbic,inter,0,1,0.0015445656700141912
11,Default_SalVentAttn,inter,0,1,0.0005066324664171138
12,Default_SomMot,inter,0,1,-0.00016265124829479657
13,Default_Vis,inter,0,1,-0.00019921741607252863
14,DorsAttn_Cont,inter,0,1,0.002736500616858087
15,DorsAttn_Default,inter,0,1,-0.0004836352510474584
16,DorsAttn_DorsAttn,intra,0,1,0.02322976897730247
17,DorsAttn_Limbic,inter,0,1,-0.0007909333999082493
18,DorsAttn_SalVentAttn,inter,0,1,0.0021819199231342323
19,DorsAttn_SomMot,inter,0,1,0.0026744405314737393
20,DorsAttn_Vis,inter,0,1,0.0009419869553196324
21,Limbic_Cont,inter,0,1,-0.00016970862049632928
22,Limbic_Default,inter,0,1,0.0015445657280744808
23,Limbic_DorsAttn,inter,0,1,-0.0007909334883207111
24,Limbic_Limbic,intra,0,1,0.03999481089362743
25,Limbic_SalVentAttn,inter,0,1,-0.0010453862469898393
26,Limbic_SomMot,inter,0,1,-0.003518607521880874
27,Limbic_Vis,inter,0,1,-0.0009621332353272304
28,SalVentAttn_Cont,inter,0,1,0.002451567866679996
29,SalVentAttn_Default,inter,0,1,0.0005066325252811293
30,SalVentAttn_DorsAttn,inter,0,1,0.002181919834166255
31,SalVentAttn_Limbic,inter,0,1,-0.001045386348798357
32,SalVentAttn_SalVentAttn,intra,0,1,0.02848196014651835
33,SalVentAttn_SomMot,inter,0,1,0.004629997490240741
34,SalVentAttn_Vis,inter,0,1,-0.0006598694705067377
35,SomMot_Cont,inter,0,1,0.00044497209678100164
36,SomMot_Default,inter,0,1,-0.0001626512685624335
37,SomMot_DorsAttn,inter,0,1,0.002674440462696836
38,SomMot_Limbic,inter,0,1,-0.0035186073054269346
39,SomMot_SalVentAttn,inter,0,1,0.004629997430891693
40,SomMot_SomMot,intra,0,1,0.02584807971676466
41,SomMot_Vis,inter,0,1,0.000878028026129658
42,Vis_Cont,inter,0,1,-0.0013915005236037042
43,Vis_Default,inter,0,1,-0.00019921738647236026
44,Vis_DorsAttn,inter,0,1,0.0009419869027200623
45,Vis_Limbic,inter,0,1,-0.0009621333288847463
46,Vis_SalVentAttn,inter,0,1,-0.0006598694369265974
47,Vis_SomMot,inter,0,1,0.0008780279313232147
48,Vis_Vis,intra,0,1,0.026874521797145473
0,Cont_Cont,intra,1,1,0.01940484206196052
1,Cont_Default,inter,1,1,0.0008451037629019254
2,Cont_DorsAttn,inter,1,1,0.0012527113531975366
3,Cont_Limbic,inter,1,1,-0.000234884394492697
4,Cont_SalVentAttn,inter,1,1,0.0013612083576453795
5,Cont_SomMot,inter,1,1,0.00038389510256345
6,Cont_Vis,inter,1,1,-0.0010119886567191724
7,Default_Cont,inter,1,1,0.0008451037553184346
8,Default_Default,intra,1,1,0.012937814986568463
9,Default_DorsAttn,inter,1,1,-0.0003828475962559385
10,Default_Limbic,inter,1,1,0.00045706807153539906
11,Default_SalVentAttn,inter,1,1,7.774593461171266e-05
12,Default_SomMot,inter,1,1,0.00012658873492049953
13,Default_Vis,inter,1,1,-0.00047009900576605075
14,DorsAttn_Cont,inter,1,1,0.0012527112937932674
15,DorsAttn_Default,inter,1,1,-0.0003828475970114768
16,DorsAttn_DorsAttn,intra,1,1,0.019138874423592935
17,DorsAttn_Limbic,inter,1,1,-0.0015540917351348049
18,DorsAttn_SalVentAttn,inter,1,1,0.0012670309536802528
19,DorsAttn_SomMot,inter,1,1,0.0017566770520000558
20,DorsAttn_Vis,inter,1,1,0.0003451076384903575
21,Limbic_Cont,inter,1,1,-0.000234884392955887
22,Limbic_Default,inter,1,1,0.00045706807555259536
23,Limbic_DorsAttn,inter,1,1,-0.0015540918082846678
