,node_a,node_b,pattern_value,cluster_label,fold
2,Cont,DorsAttn,0.0012527113531975366,1,1
3,Cont,Limbic,-0.000234884394492697,1,1
4,Cont,SalVentAttn,0.0013612083576453795,1,1
5,Cont,SomMot,0.00038389510256345,1,1
6,Cont,Vis,-0.0010119886567191724,1,1
7,Default,Cont,0.0008451037553184346,1,1
8,Default,Default,0.012937814986568463,1,1
9,Default,DorsAttn,-0.0003828475962559385,1,1
10,Default,Limbic,0.00045706807153539906,1,1
11,Default,SalVentAttn,7.774593461171266e-05,1,1
12,Default,SomMot,0.00012658873492049953,1,1
13,Default,Vis,-0.00047009900576605075,1,1
14,DorsAttn,Cont,0.0012527112937932674,1,1
15,DorsAttn,Default,-0.0003828475970114768,1,1
16,DorsAttn,DorsAttn,0.019138874423592935,1,1
17,DorsAttn,Limbic,-0.0015540917351348049,1,1
18,DorsAttn,SalVentAttn,0.0012670309536802528,1,1
19,DorsAttn,SomMot,0.0017566770520000558,1,1
20,DorsAttn,Vis,0.0003451076384903575,1,1
21,Limbic,Cont,-0.000234884392955887,1,1
22,Limbic,Default,0.00045706807555259536,1,1
23,Limbic,DorsAttn,-0.0015540918082846678,1,1
24,Limbic,Limbic,0.040015716190061,1,1
25,Limbic,SalVentAttn,-0.0005409670166104155,1,1
26,Limbic,SomMot,-0.001832148060917258,1,1
27,Limbic,Vis,-0.0005982163766753599,1,1
28,SalVentAttn,Cont,0.0013612083480466618,1,1
29,SalVentAttn,Default,7.77459783892011e-05,1,1
30,SalVentAttn,DorsAttn,0.0012670309135204376,1,1
31,SalVentAttn,Limbic,-0.0005409671011255599,1,1
32,SalVentAttn,SalVentAttn,0.022567201493435572,1,1
33,SalVentAttn,SomMot,0.0028727962732730417,1,1
34,SalVentAttn,Vis,-0.00029702416544247814,1,1
35,SomMot,Cont,0.0003838950460777572,1,1
36,SomMot,Default,0.00012658869660894757,1,1
37,SomMot,DorsAttn,0.0017566769977373118,1,1
38,SomMot,Limbic,-0.0018321478411184504,1,1
39,SomMot,SalVentAttn,0.0028727962278593715,1,1
40,SomMot,SomMot,0.016738166681113727,1,1
41,SomMot,Vis,0.00014329445479571536,1,1
42,Vis,Cont,-0.0010119887061936419,1,1
43,Vis,Default,-0.00047009894576845906,1,1
44,Vis,DorsAttn,0.00034510766846973723,1,1
45,Vis,Limbic,-0.0005982164498974675,1,1
46,Vis,SalVentAttn,-0.0002970241743066131,1,1
47,Vis,SomMot,0.0001432943809350322,1,1
48,Vis,Vis,0.01903289765798925,1,1
0,Cont,Cont,0.01939633039340483,2,1
1,Cont,Default,0.001425358473508578,2,1
2,Cont,DorsAttn,0.0016120814959479483,2,1
3,Cont,Limbic,-0.00018005492477904896,2,1
4,Cont,SalVentAttn,0.0015030091834731427,2,1
5,Cont,SomMot,5.69706802238097e-05,2,1
6,Cont,Vis,-0.001013437309014052,2,1
7,Default,Cont,0.0014253584677371702,2,1
8,Default,Default,0.012818280517658757,2,1
9,Default,DorsAttn,-1.2523737768332746e-05,2,1
10,Default,Limbic,0.0004030446131641242,2,1
11,Default,SalVentAttn,0.00044386021524146676,2,1
12,Default,SomMot,-0.0002255797724671835,2,1
13,Default,Vis,-0.0002546429128891873,2,1
14,DorsAttn,Cont,0.001612081431843175,2,1
15,DorsAttn,Default,-1.2523808201278703e-05,2,1
16,DorsAttn,DorsAttn,0.020463430678691927,2,1
17,DorsAttn,Limbic,-0.0007324408979100705,2,1
18,DorsAttn,SalVentAttn,0.0018353527732334752,2,1
19,DorsAttn,SomMot,0.0013906946751289357,2,1
20,DorsAttn,Vis,0.0009512336890822808,2,1
21,Limbic,Cont,-0.00018005489097626875,2,1
22,Limbic,Default,0.00040304466704233106,2,1
23,Limbic,DorsAttn,-0.0007324408086432185,2,1
24,Limbic,Limbic,0.03633391316316116,2,1
25,Limbic,SalVentAttn,-0.0007563743430754917,2,1
26,Limbic,SomMot,-0.0010452268458895043,2,1
27,Limbic,Vis,-0.0005640607571308451,2,1
28,SalVentAttn,Cont,0.0015030091462626572,2,1
29,SalVentAttn,Default,0.00044386023397922794,2,1
30,SalVentAttn,DorsAttn,0.001835352690019157,2,1
31,SalVentAttn,Limbic,-0.0007563743610127413,2,1
32,SalVentAttn,SalVentAttn,0.024411818723237833,2,1
33,SalVentAttn,SomMot,0.0025170930212542963,2,1
34,SalVentAttn,Vis,-0.00048744160919278554,2,1
35,SomMot,Cont,5.6970666042270515e-05,2,1
36,SomMot,Default,-0.00022557973827708316,2,1
37,SomMot,DorsAttn,0.001390694590835025,2,1
38,SomMot,Limbic,-0.0010452267757622038,2,1
39,SomMot,SalVentAttn,0.002517092916279164,2,1
40,SomMot,SomMot,0.01817679846118412,2,1
41,SomMot,Vis,0.000349944868265313,2,1
42,Vis,Cont,-0.0010134372772618615,2,1
43,Vis,Default,-0.000254642885454627,2,1
44,Vis,DorsAttn,0.0009512337292579341,2,1
45,Vis,Limbic,-0.0005640607937820807,2,1
46,Vis,SalVentAttn,-0.00048744161327332825,2,1
47,Vis,SomMot,0.00034994481944003317,2,1
48,Vis,Vis,0.021450055624021733,2,1
0,Cont,Cont,0.022800921990146873,0,2
1,Cont,Default,0.001681195906344186,0,2
2,Cont,DorsAttn,0.002749200430522556,0,2
3,Cont,Limbic,-0.00016367001872314116,0,2
4,Cont,SalVentAttn,0.0024542567928390433,0,2
5,Cont,SomMot,0.00042815700816103335,0,2
6,Cont,Vis,-0.0013846636948083091,0,2
7,Default,Cont,0.00168119594402775,0,2
8,Default,Default,0.01643653460683648,0,2
9,Default,DorsAttn,-0.0004901103966713052,0,2
10,Default,Limbic,0.0015668281277113824,0,2
11,Default,SalVentAttn,0.0004827951241490501,0,2
12,Default,SomMot,-0.00017186439035032173,0,2
13,Default,Vis,-0.00022311629507904424,0,2
14,DorsAttn,Cont,0.002749200278379993,0,2
15,DorsAttn,Default,-0.0004901104140670936,0,2
16,DorsAttn,DorsAttn,0.023219403789035,0,2
17,DorsAttn,Limbic,-0.0008018079706842293,0,2
18,DorsAttn,SalVentAttn,0.002172555235400722,0,2
19,DorsAttn,SomMot,0.0026548442805778326,0,2
20,DorsAttn,Vis,0.0009446492915987527,0,2
21,Limbic,Cont,-0.00016366989350816854,0,2
22,Limbic,Default,0.0015668281847114444,0,2
23,Limbic,DorsAttn,-0.0008018080589183474,0,2
24,Limbic,Limbic,0.03998936136834847,0,2
25,Limbic,SalVentAttn,-0.0010402949784879582,0,2
26,Limbic,SomMot,-0.0034388089120005673,0,2
27,Limbic,Vis,-0.0010128201628983038,0,2
28,SalVentAttn,Cont,0.002454256825109085,0,2
29,SalVentAttn,Default,0.00048279518328016145,0,2
30,SalVentAttn,DorsAttn,0.002172555146515698,0,2
31,SalVentAttn,Limbic,-0.0010402950791525596,0,2
32,SalVentAttn,SalVentAttn,0.028580010339346745,0,2
33,SalVentAttn,SomMot,0.004641831237229377,0,2
34,SalVentAttn,Vis,-0.0006758682151803833,0,2
35,SomMot,Cont,0.0004281569494523498,0,2
36,SomMot,Default,-0.00017186441080265522,0,2
37,SomMot,DorsAttn,0.002654844211771404,0,2
38,SomMot,Limbic,-0.00343880869597137,0,2
39,SomMot,SalVentAttn,0.004641831178111761,0,2
40,SomMot,SomMot,0.025886317872031484,0,2
41,SomMot,Vis,0.0008694956868663656,0,2
42,Vis,Cont,-0.0013846637910737273,0,2
43,Vis,Default,-0.00022311626464132427,0,2
